country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GH,Ghana,,,,,,15/02/2020,0,-2,0,-3,2,0
GH,Ghana,,,,,,16/02/2020,-3,-3,-2,-3,1,1
GH,Ghana,,,,,,17/02/2020,-4,-2,-6,-4,4,0
GH,Ghana,,,,,,18/02/2020,-3,-3,-3,-3,4,0
GH,Ghana,,,,,,19/02/2020,-4,-2,-6,-4,2,1
GH,Ghana,,,,,,20/02/2020,-3,-2,-5,-5,1,1
GH,Ghana,,,,,,21/02/2020,-3,-6,-4,-2,3,1
GH,Ghana,,,,,,22/02/2020,-3,-3,-2,-2,2,0
GH,Ghana,,,,,,23/02/2020,-3,-3,-4,-4,2,1
GH,Ghana,,,,,,24/02/2020,-5,-4,-4,-3,3,1
GH,Ghana,,,,,,25/02/2020,-3,-3,0,-2,3,0
GH,Ghana,,,,,,26/02/2020,-3,-3,-3,-2,2,-1
GH,Ghana,,,,,,27/02/2020,-2,-1,-2,-1,0,1
GH,Ghana,,,,,,28/02/2020,-2,-4,0,2,2,0
GH,Ghana,,,,,,29/02/2020,0,1,-1,2,1,-1
GH,Ghana,,,,,,01/03/2020,-1,1,-2,1,4,0
GH,Ghana,,,,,,02/03/2020,-1,1,-3,3,4,1
GH,Ghana,,,,,,03/03/2020,-1,-2,0,2,3,1
GH,Ghana,,,,,,04/03/2020,3,3,1,7,3,0
GH,Ghana,,,,,,05/03/2020,5,2,1,5,-1,-1
GH,Ghana,,,,,,06/03/2020,-1,-10,6,-4,-42,11
GH,Ghana,,,,,,07/03/2020,-2,-4,5,1,-1,1
GH,Ghana,,,,,,08/03/2020,-1,2,1,3,3,0
GH,Ghana,,,,,,09/03/2020,-3,-3,-2,3,2,1
GH,Ghana,,,,,,10/03/2020,-1,-3,0,3,3,0
GH,Ghana,,,,,,11/03/2020,-3,-3,-2,0,2,1
GH,Ghana,,,,,,12/03/2020,-2,1,-1,0,3,1
GH,Ghana,,,,,,13/03/2020,-2,-3,-1,0,5,1
GH,Ghana,,,,,,14/03/2020,-5,-2,-4,-5,2,1
GH,Ghana,,,,,,15/03/2020,-6,-1,-7,-4,3,1
GH,Ghana,,,,,,16/03/2020,-6,-2,-10,-9,-7,4
GH,Ghana,,,,,,17/03/2020,-8,-1,-7,-8,-8,3
GH,Ghana,,,,,,18/03/2020,-10,-4,-8,-10,-9,7
GH,Ghana,,,,,,19/03/2020,-12,-5,-9,-13,-10,8
GH,Ghana,,,,,,20/03/2020,-15,-10,-13,-15,-6,9
GH,Ghana,,,,,,21/03/2020,-14,0,-15,-13,3,6
GH,Ghana,,,,,,22/03/2020,-24,-11,-20,-22,-4,11
GH,Ghana,,,,,,23/03/2020,-22,-19,-17,-30,-21,13
GH,Ghana,,,,,,24/03/2020,-23,-14,-18,-27,-21,14
GH,Ghana,,,,,,25/03/2020,-20,-10,-15,-25,-23,13
GH,Ghana,,,,,,26/03/2020,-16,0,-17,-23,-22,13
GH,Ghana,,,,,,27/03/2020,-24,-18,-21,-28,-23,16
GH,Ghana,,,,,,28/03/2020,-13,14,-15,-12,1,7
GH,Ghana,,,,,,29/03/2020,-15,8,-15,-15,3,9
GH,Ghana,,,,,,30/03/2020,-53,-46,-31,-57,-50,27
GH,Ghana,,,,,,31/03/2020,-52,-44,-29,-56,-50,26
GH,Ghana,,,,,,01/04/2020,-54,-46,-32,-59,-52,28
GH,Ghana,,,,,,02/04/2020,-53,-43,-30,-59,-51,28
GH,Ghana,,,,,,03/04/2020,-54,-45,-32,-58,-46,29
GH,Ghana,,,,,,04/04/2020,-56,-47,-36,-62,-27,22
GH,Ghana,,,,,,05/04/2020,-52,-40,-33,-58,-13,20
GH,Ghana,,,,,,06/04/2020,-49,-41,-31,-57,-49,27
GH,Ghana,,,,,,07/04/2020,-48,-37,-28,-55,-48,25
GH,Ghana,,,,,,08/04/2020,-49,-37,-29,-56,-48,26
GH,Ghana,,,,,,09/04/2020,-47,-33,-28,-55,-47,26
GH,Ghana,,,,,,10/04/2020,-57,-47,-34,-60,-56,32
GH,Ghana,,,,,,11/04/2020,-54,-40,-34,-58,-25,22
GH,Ghana,,,,,,12/04/2020,-51,-38,-32,-55,-11,20
GH,Ghana,,,,,,13/04/2020,-56,-46,-35,-60,-59,32
GH,Ghana,,,,,,14/04/2020,-46,-35,-28,-54,-46,25
GH,Ghana,,,,,,15/04/2020,-48,-37,-30,-54,-47,27
GH,Ghana,,,,,,16/04/2020,-49,-37,-29,-57,-46,27
GH,Ghana,,,,,,17/04/2020,-50,-40,-33,-56,-43,29
GH,Ghana,,,,,,18/04/2020,-53,-42,-36,-58,-21,21
GH,Ghana,,,,,,19/04/2020,-52,-42,-36,-57,-9,21
GH,Ghana,,,,,,20/04/2020,-35,-27,-26,-42,-35,22
GH,Ghana,,,,,,21/04/2020,-28,-19,-21,-34,-30,17
GH,Ghana,,,,,,22/04/2020,-31,-19,-24,-35,-30,18
GH,Ghana,,,,,,23/04/2020,-28,-17,-23,-34,-28,18
GH,Ghana,,,,,,24/04/2020,-31,-22,-25,-34,-24,19
GH,Ghana,,,,,,25/04/2020,-32,-18,-25,-33,-4,13
GH,Ghana,,,,,,26/04/2020,-47,-36,-34,-48,-10,19
GH,Ghana,,,,,,27/04/2020,-23,-13,-20,-28,-24,15
GH,Ghana,,,,,,28/04/2020,-22,-11,-16,-26,-24,13
GH,Ghana,,,,,,29/04/2020,-24,-11,-17,-27,-24,16
GH,Ghana,,,,,,30/04/2020,-23,-11,-17,-26,-24,16
GH,Ghana,,,,,,01/05/2020,-36,-23,-25,-36,-42,22
GH,Ghana,,,,,,02/05/2020,-30,-16,-20,-31,-1,13
GH,Ghana,,,,,,03/05/2020,-39,-27,-28,-39,-5,16
GH,Ghana,,,,,,04/05/2020,-21,-10,-16,-25,-20,13
GH,Ghana,,,,,,05/05/2020,-22,-9,-15,-24,-21,14
GH,Ghana,,,,,,06/05/2020,-21,-8,-17,-24,-21,14
GH,Ghana,,,,,,07/05/2020,-21,-8,-17,-25,-20,15
GH,Ghana,,,,,,08/05/2020,-23,-13,-19,-26,-16,16
GH,Ghana,,,,,,09/05/2020,-24,-8,-18,-26,3,11
GH,Ghana,,,,,,10/05/2020,-33,-22,-25,-37,-2,16
GH,Ghana,,,,,,11/05/2020,-20,-7,-18,-25,-18,14
GH,Ghana,,,,,,12/05/2020,-19,-6,-14,-22,-18,13
GH,Ghana,,,,,,13/05/2020,-20,-8,-16,-23,-18,14
GH,Ghana,,,,,,14/05/2020,-20,-8,-17,-24,-18,13
GH,Ghana,,,,,,15/05/2020,-22,-13,-18,-23,-14,16
GH,Ghana,,,,,,16/05/2020,-24,-9,-19,-24,6,11
GH,Ghana,,,,,,17/05/2020,-29,-18,-23,-32,2,14
GH,Ghana,,,,,,18/05/2020,-17,-6,-16,-20,-16,13
GH,Ghana,,,,,,19/05/2020,-19,-8,-16,-23,-17,14
GH,Ghana,,,,,,20/05/2020,-20,-7,-16,-22,-18,14
GH,Ghana,,,,,,21/05/2020,-19,-5,-15,-22,-18,15
